日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,"8,125,141","893,625,010",110.50,110.50,109.50,109.50,-0.50,"4,381"
109/01/03,"7,416,848","815,942,140",110.00,110.50,109.50,110.50,+1.00,"3,749"
109/01/06,"5,303,895","584,685,334",110.50,110.50,110.00,110.00,-0.50,"3,455"
109/01/07,"14,171,476","1,548,507,360",110.00,110.00,108.50,109.50,-0.50,"4,984"
109/01/08,"9,437,253","1,033,219,156",109.50,110.00,109.00,109.00,-0.50,"4,282"
109/01/09,"7,520,338","824,788,180",109.50,110.00,109.00,109.50,+0.50,"3,306"
109/01/10,"5,737,892","628,623,120",109.50,110.00,109.00,109.50, 0.00,"2,447"
109/01/13,"14,512,141","1,586,617,010",109.50,110.00,108.50,110.00,+0.50,"5,056"
109/01/14,"11,104,620","1,214,396,700",109.50,110.00,108.50,109.50,-0.50,"3,394"
109/01/15,"12,586,074","1,371,458,056",109.00,109.50,108.50,109.00,-0.50,"3,990"
109/01/16,"9,307,953","1,015,946,788",109.00,109.50,108.50,109.50,+0.50,"3,843"
109/01/17,"8,286,953","905,833,314",109.50,110.00,109.00,109.50, 0.00,"4,534"
109/01/20,"7,200,798","788,526,780",109.50,110.00,109.00,109.50, 0.00,"3,640"
109/01/30,"17,655,824","1,911,198,316",108.50,109.00,108.00,108.50,-1.00,"8,598"
109/01/31,"15,411,293","1,665,544,879",107.50,109.00,107.50,108.00,-0.50,"4,871"
109/02/03,"12,973,281","1,397,347,629",107.50,108.00,107.00,108.00, 0.00,"4,187"
109/02/04,"13,601,163","1,468,086,658",107.50,108.50,107.00,108.00, 0.00,"3,820"
109/02/05,"7,127,971","770,713,796",108.00,108.50,108.00,108.00, 0.00,"3,972"
109/02/06,"5,967,464","648,023,076",108.50,109.00,108.50,108.50,+0.50,"3,177"
109/02/07,"7,526,636","818,778,824",109.00,109.00,108.50,109.00,+0.50,"3,456"
109/02/10,"6,295,322","683,774,098",109.00,109.00,108.00,109.00, 0.00,"1,938"
109/02/11,"3,888,202","423,045,518",109.00,109.50,108.50,108.50,-0.50,"2,328"
109/02/12,"6,959,768","756,506,712",109.00,109.00,108.50,108.50, 0.00,"3,995"
109/02/13,"5,627,386","613,788,715",109.00,109.50,108.50,109.50,+1.00,"2,219"
109/02/14,"3,179,443","347,651,480",109.50,109.50,109.00,109.00,-0.50,"1,629"
109/02/17,"4,673,114","511,748,540",109.00,110.00,109.00,110.00,+1.00,"2,587"
109/02/18,"2,812,057","308,516,270",109.50,110.00,109.50,109.50,-0.50,"1,511"
109/02/19,"4,873,771","535,965,810",110.00,110.50,109.50,110.00,+0.50,"2,980"
109/02/20,"6,727,345","738,687,950",110.00,110.50,109.50,109.50,-0.50,"2,391"
109/02/21,"4,980,603","546,017,984",109.50,110.00,109.50,109.50, 0.00,"2,503"
109/02/24,"7,465,889","813,186,401",109.50,109.50,108.50,108.50,-1.00,"3,528"
109/02/25,"5,278,040","572,515,860",108.50,109.00,108.00,108.50, 0.00,"2,789"
109/02/26,"6,856,707","742,485,172",108.00,109.00,108.00,108.00,-0.50,"2,980"
109/02/27,"8,037,695","869,523,873",108.00,108.50,108.00,108.00, 0.00,"3,419"
109/03/02,"11,114,123","1,198,189,784",107.50,108.00,107.00,108.00, 0.00,"5,404"
109/03/03,"7,103,100","768,666,801",108.00,109.00,108.00,108.00, 0.00,"3,841"
109/03/04,"4,698,670","510,727,030",108.50,109.00,108.00,109.00,+1.00,"2,270"
109/03/05,"6,645,546","729,312,060",109.50,110.00,109.00,110.00,+1.00,"3,373"
109/03/06,"7,553,751","822,981,359",109.50,110.00,108.50,108.50,-1.50,"3,564"
109/03/09,"9,024,036","972,349,388",108.00,108.00,107.50,107.50,-1.00,"5,297"
109/03/10,"10,880,267","1,171,306,836",107.00,108.50,107.00,107.50, 0.00,"5,150"
109/03/11,"9,091,040","980,907,272",108.00,108.50,107.50,108.50,+1.00,"4,928"
109/03/12,"16,766,527","1,803,569,093",108.00,108.50,107.00,107.50,-1.00,"8,050"
109/03/13,"34,147,652","3,571,200,112",106.50,107.00,103.00,106.00,-1.50,"15,490"
109/03/16,"16,463,671","1,734,459,698",106.50,107.00,105.00,105.00,-1.00,"7,028"
109/03/17,"22,133,575","2,333,180,950",104.00,107.00,103.50,107.00,+2.00,"9,644"
109/03/18,"17,985,225","1,907,565,380",107.00,107.00,105.00,106.50,-0.50,"6,317"
109/03/19,"24,486,593","2,551,305,384",104.00,106.00,103.50,105.50,-1.00,"9,548"
